sk_local,uf,municipio,br,km,regional,delegacia,uop
2555,RS,SENTINELA DO SUL,116,367.0,SPRF-RS,DEL02-RS,UOP02-DEL02-RS
2556,SP,BARRA DO TURVO,116,523.0,SPRF-SP,DEL05-SP,UOP02-DEL05-SP
2557,PI,FLORIANO,230,309.0,SPRF-PI,DEL03-PI,UOP01-DEL03-PI
2558,SC,IRANI,153,0.0,SPRF-SC,DEL07-SC,UOP04-DEL07-SC
2559,SC,ARAQUARI,280,39.0,SPRF-SC,DEL03-SC,UOP03-DEL03-SC
2560,SC,GUARUJA DO SUL,163,0.0,SPRF-SC,DEL07-SC,UOP03-DEL07-SC
2561,MS,SONORA,163,831.0,SPRF-MS,DEL06-MS,UOP01-DEL06-MS
2562,MA,TIMON,226,0.0,SPRF-MA,DEL03-MA,UOP02-DEL03-MA
2563,SC,BALNEARIO PICARRAS,101,104.0,SPRF-SC,DEL03-SC,UOP02-DEL03-SC
2564,GO,CRISTALINA,40,92.0,SPRF-DF,DEL01-DF,UOP02-DEL01-DF
2565,RN,GOIANINHA,101,153.0,SPRF-RN,DEL01-RN,UOP01-DEL01-RN
2566,ES,MARECHAL FLORIANO,262,46.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2567,BA,VITORIA DA CONQUISTA,116,806.0,SPRF-BA,DEL08-BA,UOP01-DEL08-BA
2568,CE,EUSEBIO,116,16.0,SPRF-CE,DEL01-CE,UOP02-DEL01-CE
2569,MS,MIRANDA,262,570.0,SPRF-MS,DEL03-MS,UOP02-DEL03-MS
2570,PR,SAO JOSE DOS PINHAIS,376,633.0,SPRF-PR,DEL01-PR,UOP04-DEL01-PR
2571,PE,CABO DE SANTO AGOSTINHO,101,0.0,SPRF-PE,DEL01-PE,UOP03-DEL01-PE
2572,PR,CAMBE,369,159.0,SPRF-PR,DEL07-PR,UOP01-DEL07-PR
2573,RJ,PARACAMBI,116,222.0,SPRF-RJ,DEL06-RJ,UOP02-DEL06-RJ
2574,MG,POCOS DE CALDAS,146,487.0,SPRF-MG,DEL09-MG,UOP01-DEL09-MG
2575,PR,CAMPO LARGO,277,137.0,SPRF-PR,DEL03-PR,UOP03-DEL03-PR
2576,MT,SINOP,163,821.0,SPRF-MT,DEL06-MT,UOP02-DEL06-MT
2577,CE,CAUCAIA,222,22.0,SPRF-CE,DEL01-CE,UOP01-DEL01-CE
2578,MA,BALSAS,230,0.0,SPRF-MA,DEL05-MA,UOP01-DEL05-MA
2579,RS,SANTA MARIA,158,321.0,SPRF-RS,DEL09-RS,UOP01-DEL09-RS
2580,MS,AGUA CLARA,262,114.0,SPRF-MS,DEL07-MS,UOP02-DEL07-MS
2581,MG,PRATA,153,121.0,SPRF-MG,DEL15-MG,UOP03-DEL15-MG
2582,PR,FOZ DO IGUACU,277,5.0,SPRF-PR,DEL05-PR,UOP04-DEL05-PR
2583,GO,ESTRELA DO NORTE,153,114.0,SPRF-GO,DEL07-GO,UOP01-DEL07-GO
2584,BA,FEIRA DE SANTANA,324,520.0,SPRF-BA,DEL11-BA,UOP02-DEL11-BA
2585,PR,APUCARANA,376,245.0,SPRF-PR,DEL07-PR,UOP03-DEL07-PR
2586,PR,PONTA GROSSA,373,182.0,SPRF-PR,DEL03-PR,UOP01-DEL03-PR
2587,SP,ROSEIRA,116,77.0,SPRF-SP,DEL08-SP,UOP01-DEL08-SP
