sk,id_natural,regional,dt_inicio,dt_fim,flag_atual
435,SELVIRIA,SPRF-MS,2026-01-01,,True
436,DOM CAVATI,SPRF-MG,2026-01-01,,True
437,GLORINHA,SPRF-RS,2026-01-01,,True
438,POCINHOS,SPRF-PB,2026-01-01,,True
439,LARANJEIRAS,SPRF-SE,2026-01-01,,True
440,BRAGANCA PAULISTA,SPRF-SP,2026-01-01,,True
441,IRACEMINHA,SPRF-SC,2026-01-01,,True
442,CAICARA DO RIO DO VENTO,SPRF-RN,2026-01-01,,True
443,SILVA JARDIM,SPRF-RJ,2026-01-01,,True
444,PIRAPORA,SPRF-MG,2026-01-01,,True
445,ALEXANIA,SPRF-DF,2026-01-01,2026-06-26,False
446,NOVA ERA,SPRF-MG,2026-01-01,,True
447,ROSARIO OESTE,SPRF-MT,2026-01-01,,True
448,BACABEIRA,SPRF-MA,2026-01-01,,True
449,RIO DO SUL,SPRF-SC,2026-01-01,,True
450,TAIPU,SPRF-RN,2026-01-01,,True
451,PESQUEIRA,SPRF-PE,2026-01-01,,True
452,MESQUITA,SPRF-RJ,2026-01-01,,True
453,BOA VIAGEM,SPRF-CE,2026-01-01,,True
454,JOACABA,SPRF-SC,2026-01-01,,True
455,FLEXEIRAS,SPRF-AL,2026-01-01,,True
456,MATHIAS LOBATO,SPRF-MG,2026-01-01,,True
457,ALVORADA DO NORTE,SPRF-DF,2026-01-01,,True
458,BARRA DO GARCAS,SPRF-MT,2026-01-01,,True
459,IVINHEMA,SPRF-MS,2026-01-01,,True
460,MATOES DO NORTE,SPRF-MA,2026-01-01,,True
461,COREAU,SPRF-CE,2026-01-01,,True
462,CORRENTINA,SPRF-BA,2026-01-01,,True
